Data,IdCircuito,NumeroGiro,NumeroPilota,Tempo,VelocitaMax,VelocitaMin
02-03-2024,1,1,16,00:01:38.867,337.56,285.98
02-03-2024,1,1,44,00:01:39.490,337.23,285.35
02-03-2024,1,2,16,00:01:38.754,335.9,286.58
02-03-2024,1,2,44,00:01:37.897,337.82,285.26
02-03-2024,1,3,16,00:01:34.566,337.07,286.07
02-03-2024,1,3,44,00:01:37.620,337.95,285.82
02-03-2024,1,4,16,00:01:35.736,338.4,286.38
02-03-2024,1,4,44,00:01:37.653,338.38,286.56
02-03-2024,1,5,16,00:01:40.332,338.41,287.12
02-03-2024,1,5,44,00:01:39.515,338.46,285.32
02-03-2024,1,6,16,00:01:37.201,337.27,286.57
02-03-2024,1,6,44,00:01:35.370,335.84,286.79
02-03-2024,1,7,16,00:01:33.643,335.79,285.73
02-03-2024,1,7,44,00:01:37.106,338.28,285.59
02-03-2024,1,8,16,00:01:39.754,336.71,287.13
02-03-2024,1,8,44,00:01:40.004,337.75,287.29
02-03-2024,1,9,16,00:01:36.930,338.3,286.78
02-03-2024,1,9,44,00:01:37.635,337.04,286.69
02-03-2024,1,10,16,00:01:37.706,337.14,287.34
02-03-2024,1,10,44,00:01:34.480,337.55,286.01
02-03-2024,1,11,16,00:01:37.245,336.42,287.29
02-03-2024,1,11,44,00:01:41.302,338.65,286.38
02-03-2024,1,12,16,00:01:38.537,337.59,287.31
02-03-2024,1,12,44,00:01:41.102,336.53,287.41
02-03-2024,1,13,16,00:01:41.001,337.16,287.63
02-03-2024,1,13,44,00:01:34.367,336.34,287.17
02-03-2024,1,14,16,00:01:41.284,338.91,286.81
02-03-2024,1,14,44,00:01:34.069,338.24,286.8
02-03-2024,1,15,16,00:01:33.951,338.92,287.24
02-03-2024,1,15,44,00:01:35.560,338.19,286.4
02-03-2024,1,16,16,00:01:36.060,338.17,286.52
02-03-2024,1,16,44,00:01:38.451,337.15,285.89
02-03-2024,1,17,16,00:01:41.784,337.92,287.45
02-03-2024,1,17,44,00:01:39.355,339.21,286.71
02-03-2024,1,18,16,00:01:39.772,339.77,286.28
02-03-2024,1,18,44,00:01:34.799,337.22,286.76
02-03-2024,1,19,16,00:01:37.864,337.25,287.0
02-03-2024,1,19,44,00:01:39.905,339.38,286.95
02-03-2024,1,20,16,00:01:40.971,339.14,287.49
02-03-2024,1,20,44,00:01:34.539,339.98,287.74
02-03-2024,1,21,16,00:01:40.319,337.64,287.97
02-03-2024,1,21,44,00:01:40.120,340.0,286.42
02-03-2024,1,22,16,00:01:38.171,339.86,287.73
02-03-2024,1,22,44,00:01:37.368,339.01,287.94
02-03-2024,1,23,16,00:01:35.230,337.53,287.88
02-03-2024,1,23,44,00:01:34.867,338.52,287.52
02-03-2024,1,24,16,00:01:37.605,337.64,287.56
02-03-2024,1,24,44,00:01:41.745,339.95,286.54
02-03-2024,1,25,16,00:01:41.832,339.14,286.76
02-03-2024,1,25,44,00:01:33.519,339.22,286.68
02-03-2024,1,26,16,00:01:40.441,340.16,286.44
02-03-2024,1,26,44,00:01:36.433,339.96,287.99
02-03-2024,1,27,16,00:01:41.936,337.86,287.32
02-03-2024,1,27,44,00:01:37.802,340.2,286.92
02-03-2024,1,28,16,00:01:34.697,340.24,287.84
02-03-2024,1,28,44,00:01:34.442,338.56,287.16
02-03-2024,1,29,16,00:01:35.953,340.48,287.3
02-03-2024,1,29,44,00:01:34.843,337.92,286.49
02-03-2024,1,30,16,00:01:38.701,338.35,288.34
02-03-2024,1,30,44,00:01:34.237,338.87,287.91
02-03-2024,1,31,16,00:01:36.274,338.1,286.68
02-03-2024,1,31,44,00:01:39.893,338.8,286.97
02-03-2024,1,32,16,00:01:37.323,338.66,287.16
02-03-2024,1,32,44,00:01:34.063,340.49,286.83
02-03-2024,1,33,16,00:01:39.010,338.91,288.02
02-03-2024,1,33,44,00:01:40.567,341.01,288.01
02-03-2024,1,34,16,00:01:40.840,340.43,287.01
02-03-2024,1,34,44,00:01:35.748,340.42,288.07
02-03-2024,1,35,16,00:01:34.879,338.54,287.45
02-03-2024,1,35,44,00:01:38.414,338.51,288.12
